docket_id,court_id
4616,wash
873086,wash
873082,wash
4849,wash
4993,wash
5342,washctapp
5360,washctapp
873107,wash
873106,wash
3036541,washctapp
68398239,washctapp
68398241,washctapp
68398240,washctapp
68398242,washctapp
68398243,washctapp
68398244,washctapp
68398245,washctapp
68398247,washctapp
68398246,washctapp
2114324,wash
873419,washctapp
5477,wash
5478,wash
5542,washctapp
5578,wash
5707,wash
5712,washctapp
5853,wash
68547155,washctapp
68547156,washctapp
68547159,washctapp
68547160,washctapp
68547161,washctapp
68547162,washctapp
68547163,washctapp
873288,washctapp
873290,washctapp
68399712,washctapp
68399718,washctapp
68399719,washctapp
68400034,washctapp
68400035,washctapp
68400036,washctapp
68400033,washctapp
873474,washctapp
6070,wash
6147,wash
873777,washctapp
873778,washctapp
68399714,washctapp
68399716,washctapp
68399717,washctapp
6387,wash
6548,washctapp
69936441,washctapp
69936442,washctapp
873767,washctapp
873719,washctapp
873443,wash
873701,wash
873725,washctapp
873715,washctapp
873439,washctapp
873448,washctapp
874118,wash
873542,washctapp
1607898,wash
1607899,washctapp
6601,washctapp
6603,wash
6623,washctapp
6624,washctapp
6637,washctapp
6638,washctapp
6639,washctapp
6641,washctapp
6644,washctapp
6652,washctapp
6691,washctapp
6714,wash
6730,washctapp
6733,washctapp
6745,washctapp
6771,washctapp
6772,washctapp
6789,washctapp
6794,washctapp
6853,washctapp
6854,washctapp
6857,washctapp
6858,washctapp
6859,washctapp
6882,wash
874516,washctapp
69666154,washctapp
69666155,washctapp
874131,wash
7551,wash
7584,wash
7627,washctapp
7697,wash
7777,washctapp
7912,washctapp
7916,wash
7924,wash
8030,wash
8088,wash
8122,wash
8179,wash
8181,wash
8185,wash
8191,washctapp
8214,washctapp
8251,wash
8270,wash
1607953,wash
1607951,washctapp
1607963,washctapp
2687004,washctapp
1607959,washctapp
69176194,wash
874111,washctapp
12377,wash
12446,wash
12526,washctapp
12602,washctapp
12693,washctapp
12698,washctapp
12749,washctapp
12768,washctapp
12807,washctapp
12811,washctapp
12886,wash
13051,washctapp
13052,washctapp
13085,washctapp
13110,washctapp
13136,wash
13231,wash
13250,washctapp
874550,washctapp
875744,washctapp
875834,washctapp
13518,washctapp
13587,washctapp
13676,washctapp
13693,washctapp
13694,washctapp
13699,washctapp
13708,washctapp
13740,washctapp
1608013,washctapp
8417,wash
1608014,wash
8668,washctapp
8695,washctapp
8718,washctapp
8995,washctapp
9012,washctapp
9044,washctapp
9087,washctapp
9120,wash
9133,wash
9346,washctapp
9390,washctapp
9398,washctapp
63634522,wash
63634525,wash
63634632,wash
63634633,wash
63634634,wash
63634635,wash
63634710,wash
63634930,wash
63634937,wash
63634950,wash
63634951,wash
63635104,wash
63635153,wash
63635149,wash
63635150,wash
63635175,wash
63635191,wash
63635192,wash
63635193,wash
63635194,wash
9758,wash
9794,washctapp
9826,wash
63635488,wash
63635490,wash
63635500,wash
63635495,wash
69176576,washctapp
69176577,washctapp
63635536,wash
63635534,wash
63635593,wash
63635595,washctapp
63635678,wash
63635679,wash
63635680,wash
98378,wash
876167,washctapp
876172,washctapp
876154,washctapp
68069901,wash
68069902,wash
63635868,wash
876152,wash
1608028,washctapp
63635894,wash
68550430,washctapp
10049,washctapp
876335,washctapp
10109,washctapp
10110,washctapp
63636101,wash
63636097,wash
63636098,wash
63636099,wash
63636100,wash
63636102,wash
63636103,wash
63636104,wash
63636105,wash
63636106,wash
63636107,wash
63636108,wash
63636109,wash
63636110,wash
63636116,wash
10230,wash
876337,washctapp
63636686,wash
63636688,wash
63636696,wash
63636711,wash
63636727,wash
63636722,wash
63636734,wash
63636735,wash
10395,wash
10396,wash
63636820,washctapp
10510,wash
10532,wash
10540,wash
10624,washctapp
876338,wash
63636990,washctapp
63637121,wash
63637106,wash
10641,washctapp
10644,washctapp
63637286,wash
10762,washctapp
10764,washctapp
10770,washctapp
10834,washctapp
10838,washctapp
10847,wash
10963,wash
10982,washctapp
10985,wash
11015,washctapp
11016,washctapp
68550436,washctapp
68550434,washctapp
68550435,washctapp
11092,wash
11107,washctapp
11174,washctapp
11250,wash
63637637,wash
63637638,wash
63637639,wash
63637642,wash
63637643,wash
63637644,wash
63637645,wash
63637722,washctapp
63637723,washctapp
63637788,wash
63637794,wash
876510,wash
876509,wash
1608053,wash
68069548,washctapp
11288,wash
11298,washctapp
11322,washctapp
11332,washctapp
11337,washctapp
11338,washctapp
11340,wash
11357,wash
11401,washctapp
11405,washctapp
11406,washctapp
11409,washctapp
11422,wash
11457,wash
11480,washctapp
11481,wash
11551,wash
11556,wash
11693,washctapp
11696,washctapp
11789,washctapp
11812,washctapp
11826,washctapp
11859,wash
11925,washctapp
11933,washctapp
11973,washctapp
11978,washctapp
12017,washctapp
12019,washctapp
12020,washctapp
12021,washctapp
12022,washctapp
12023,washctapp
12044,wash
12082,wash
12085,wash
12088,wash
12102,wash
12111,wash
12112,wash
12114,washctapp
12122,washctapp
12123,wash
12124,wash
12147,wash
12148,washctapp
12154,washctapp
12162,wash
12163,washctapp
12223,washctapp
12244,wash
12297,wash
12313,washctapp
12325,washctapp
878650,wash
13755,wash
13756,washctapp
13769,wash
13939,wash
14008,washctapp
14128,wash
14342,washctapp
14439,washctapp
14466,wash
14529,washctapp
14759,wash
14884,wash
